cpf,nome,formPgto,nrocartao
944.056.315-76,Monah Teodoro,TODAS,3567597807273830
727.337.414-22,Hyacinthie Garth,CARTAO,5010122047290470
628.244.586-06,Nathaniel Crossdale,TODAS,503832001873091000
955.572.609-39,Mikael Connaughton,CARTAO,30251041312706
209.328.883-99,Lacy Fantini,DINHEIRO,3582855550764860
959.189.704-70,Violet Maillard,DINHEIRO,36336135461586
994.463.219-70,Vic Clancey,DINHEIRO,50186491984002500
855.897.989-33,Christopher Ventris,DINHEIRO,5610775938180030
369.813.519-38,Rollo Beri,CARTAO,3589450714896670
481.955.434-83,Matty Scintsbury,TODAS,30067575142750
843.179.623-13,Lefty Lanon,CARTAO,3563270844156570
210.954.883-17,Kaela Bourdice,TODAS,6709149585081500000
549.967.635-40,Cristobal Bayle,CARTAO,5602224457992990
627.361.091-30,Annabal Sudlow,TODAS,3573200235565540
837.562.637-19,Kenn Huson,CARTAO,493631363093023000
084.281.985-83,Persis Bruford,DINHEIRO,4508524144212670
687.064.548-11,Etheline Cooksley,TODAS,3588057753093090
663.230.731-35,Ethe Ruggier,CARTAO,3569237733437840
983.441.427-35,Keelia Sargerson,TODAS,5602251110476840
374.269.252-06,Wendie Eannetta,CARTAO,5602215383539450
848.865.455-31,Pat Twidell,TODAS,201584221908437
501.748.490-35,Meggy Renzini,CARTAO,6706655774713200
518.514.686-93,Netti Brockhurst,TODAS,3579744830339180
978.867.718-20,Jamima Tidd,CARTAO,5100139148813310
040.059.815-79,Joe Calrow,CARTAO,3583188850364730
618.589.793-21,Anya Farlow,TODAS,3559566876717280
406.758.934-70,Evelyn Suscens,CARTAO,3577565216918990
879.501.510-95,Cindy Seefus,TODAS,633338548313582000
456.517.014-58,Buck Youel,CARTAO,5602218536021920
795.859.990-17,Clerkclaude Petch,TODAS,3541904656571100
689.252.248-41,Wendy Shellard,CARTAO,5473865865894550
432.470.592-22,Gratiana Jennaroy,TODAS,675976784176203000
144.425.558-81,Stefania McOrkil,CARTAO,201506658684520
183.776.397-41,Arlen Shearmer,TODAS,5400984479410510
546.866.631-74,Lou Amberson,CARTAO,3582635612191960
938.322.264-12,Annmaria Bradie,TODAS,3569250227279330
983.858.191-63,Iggy Hurleston,CARTAO,4913034442922560
435.176.005-29,Davidson De Ambrosis,TODAS,6771195170506040000
371.394.228-12,Margalo Thowless,CARTAO,3582838481955800
829.449.123-99,Mickie Bagshaw,DINHEIRO,5100134776865670
628.634.566-10,Thoma Slyvester,DINHEIRO,3556470222580090
759.382.413-38,Ebony Hradsky,DINHEIRO,5038918264091200000
478.131.765-39,Vergil Heinert,CARTAO,3581849861889030
378.761.766-72,Myrna Tompkins,TODAS,3559484559617580
592.228.722-61,Darcy Lauder,CARTAO,5610960591716760
902.257.097-73,Lesley Dignon,TODAS,337941412625047
770.395.136-47,Sidnee Gunning,CARTAO,3540642112810960
320.012.424-89,Wayne Brandino,TODAS,5048374318354100
820.729.825-82,Leeann Blackmore,CARTAO,3567170842715410
717.990.221-30,Eugine Turgoose,TODAS,3542086351456490
281.513.698-97,Clarita Cleary,CARTAO,3586921501091070
771.862.044-02,Janith Littleproud,TODAS,3545703413589920
206.722.890-41,Martynne Heinert,CARTAO,6304632147068960
253.863.974-92,Keir Wadham,CARTAO,5108750958011050
289.451.330-75,Tallie Dummer,TODAS,3534736657371050
136.317.783-11,Rich Orcott,CARTAO,675944907469338000
111.475.153-38,Chet True,TODAS,374283776618134
175.259.223-93,Dedie Heintzsch,CARTAO,5602254799984240000
200.988.943-79,Dita Thresh,TODAS,6385599717176140
329.952.539-39,Mireielle Tzuker,CARTAO,6399599153405220
630.918.618-19,Lori Rispin,TODAS,3546488791773630
829.413.902-37,Sibylla Harsent,CARTAO,374622734405888
885.564.335-75,Caresa Downage,TODAS,5602233110658450
864.237.996-52,Aeriela Guidoni,CARTAO,5100142095631010
514.399.122-80,Charin Crowch,TODAS,3544429826064010
530.541.560-04,Dolorita Keeltagh,CARTAO,560222667263752000
617.461.188-52,Dulcia Gallehawk,TODAS,4405247987279080
508.621.396-38,Andy Saxby,CARTAO,6304375341753300000
943.404.088-94,Fredra Semeniuk,DINHEIRO,4905988139474800
677.530.252-42,Igor Killen,DINHEIRO,3588721758598540
486.297.720-56,Boniface McDonough,DINHEIRO,5100178880260060
971.211.469-69,Rog Debrick,CARTAO,201608466521769
599.539.738-57,Ogdon McSharry,TODAS,3551718433100760
806.600.752-21,Barr Golde,CARTAO,4844566647620180
040.959.193-13,Arlene Cator,TODAS,3575361338371400
124.529.725-24,Loleta Ellor,CARTAO,3564609138783600
071.488.751-47,Irina Sussams,TODAS,6333936913510090000
772.755.967-48,Deana Risebrow,CARTAO,3574431421988210
636.323.179-98,Kliment McMechan,DINHEIRO,6331105878986690
579.084.396-51,Harvey Worthington,DINHEIRO,5641820946843050
706.635.529-72,Sib Skalls,DINHEIRO,3558273768248210
024.084.011-79,Immanuel Castagnone,DINHEIRO,3568953279461470
811.355.339-10,Nessie Scarff,CARTAO,4508341573713950
240.415.350-86,Wernher Cockren,TODAS,374873067301018
528.404.225-72,Pieter Greenard,CARTAO,3548720942231280
778.345.639-37,Courtney Van Velden,TODAS,4405310547886990
070.245.425-25,Jeth Haresnaip,CARTAO,201814507997642
969.379.997-89,Adolphe Laugharne,TODAS,5602221133024190
876.423.739-28,Sashenka Davidesco,CARTAO,373171610462630
118.202.849-18,Em Armfirld,DINHEIRO,6761546315747080000
911.006.850-45,Monica Nelsey,TODAS,3536313210437590
575.167.609-91,Tildi Elmar,CARTAO,5002352133793010
607.697.429-15,Fredia Maseyk,TODAS,560224488037661000
276.314.569-39,Gerda Puig,CARTAO,3584794060444310
133.059.014-69,Hewitt Barnett,TODAS,201792865628092
820.323.973-62,Bernardo Fearnyough,CARTAO,3580493978838490
967.782.526-55,Rhiamon Amies,TODAS,56022470198115700
421.095.306-38,Dita Edsall,CARTAO,3570097265046010
290.590.948-77,Devina McGeorge,CARTAO,379193113229625
017.450.792-76,Ase Lehrahan,TODAS,3567491118257340
746.276.144-15,Rollie Feild,CARTAO,3543185411226120
632.355.220-22,Tucky Scothorn,TODAS,3563517933467020
017.265.521-56,Cornie Barnsdall,CARTAO,201590499032453
455.564.597-17,Ava Trotter,TODAS,67066776293550900
272.246.260-35,Chrissy Van den Oord,CARTAO,344467185098817
008.000.002-25,Mal Farrar,TODAS,201657117609838
633.202.489-31,Roldan Clausner,CARTAO,3559763236712520
316.727.648-94,Merv Kehir,TODAS,3531228431699580
440.952.350-45,Christabel Hains,CARTAO,67626281668193400
241.400.941-96,Adda Brassington,TODAS,3531287157942750
121.621.829-79,Robinetta MacLese,CARTAO,3551231080899950
365.514.320-08,Archibold Verbeek,TODAS,3580997413511530
494.804.794-56,Car Dallyn,CARTAO,3557503191904700
660.391.423-01,Rodney Saunton,DINHEIRO,5100135975911860
105.144.707-63,Aviva Legier,DINHEIRO,56022456553101900
392.835.725-74,Fraze Cattrall,DINHEIRO,4917166035758980
697.016.868-73,Ive Plastow,CARTAO,6759678086567190000
631.974.912-47,Patten Preshaw,TODAS,604070246105207000
579.870.792-69,Almeta Blindmann,CARTAO,6767100730711790
602.029.871-31,Bride Yakubov,TODAS,4917322397129260
597.808.746-08,Payton Levis,CARTAO,201696413035660
301.102.743-66,Brennan Parrett,TODAS,36396218875722
801.035.292-30,Michaeline Kadwallider,CARTAO,6333243935264760
429.402.121-99,Rhiamon Batha,TODAS,3561433891785540
267.476.312-35,Whitman Prantoni,CARTAO,560222603276520000
005.953.428-73,Dion Sorel,TODAS,30220484708043
891.219.630-81,Nil Bilson,CARTAO,4175004210348420
486.242.744-91,Felicio Dirr,CARTAO,5602225253539010
557.665.578-52,Vere Peagram,TODAS,3542660188375400
104.598.160-05,Erasmus Ahren,CARTAO,4905529242209130
303.551.144-15,Lindon Hovey,TODAS,4911816099197380000
862.804.886-39,Angel Wyche,CARTAO,5108756295758680
925.517.056-64,Lani Knowler,TODAS,5020948583016670000
505.711.233-42,Ettore Spellard,CARTAO,3563700535532550
454.964.195-89,Atalanta Simon,TODAS,6333088368796610000
449.643.305-06,Vittoria Goodlatt,CARTAO,6759813492203490000
247.606.320-29,Georgena Finding,TODAS,3588518382156110
066.271.332-37,Lora Petras,CARTAO,4175001799384410
497.472.989-59,Taffy Kilbee,TODAS,5100135035849780
160.595.946-56,Arly Sotworth,CARTAO,3537628977870900
228.329.103-94,Carlie Osgarby,TODAS,6046482955626330
449.940.595-92,Mellisa Petrosian,CARTAO,4905415585376700
255.292.898-37,Any Stallworth,DINHEIRO,3531042352581040
178.824.876-54,Hailey Wattinham,DINHEIRO,3552881301597510
500.468.222-42,Arnold Penfold,DINHEIRO,3560931500886510
597.744.655-61,Ellette Buggs,CARTAO,3533372972240380
051.053.809-12,Kippar Morot,TODAS,374288749807706
875.640.100-88,Waite Compford,CARTAO,3546971714449530
997.555.921-85,Catie MacGillavery,TODAS,4041595013152
330.258.525-75,Marco Mager,CARTAO,3528769822196600
241.128.895-26,Clementina Roo,TODAS,3532822672444480
016.259.648-38,Yorke Manzell,CARTAO,5602214230697410
629.007.530-79,Kimberlee Quene,DINHEIRO,3539159898200880
611.330.292-89,Denver Totterdill,DINHEIRO,3564818040992810
665.639.139-02,Betsy Di Biagi,DINHEIRO,3559487205507430
256.145.670-19,Rebekah Seakin,DINHEIRO,5602225828118900
106.503.873-52,Giraldo Povele,CARTAO,5475037380606680
970.180.553-64,Josey Gimblet,TODAS,3560975878331780
063.282.054-12,Pooh Rubinov,CARTAO,3577905955204740
862.212.439-37,Temple Dargue,TODAS,30094853023031
845.312.595-99,Rusty Cess,CARTAO,3538227984603450
235.320.538-52,Brice Overill,TODAS,3581993576548360
411.571.326-82,Bartholomew Crane,CARTAO,4905066844968920000
531.696.314-28,Misty Maslin,DINHEIRO,4405301989174950
342.551.209-98,Nealy Trussman,TODAS,4026649215959810
105.007.244-49,Millisent Grealish,CARTAO,201991351470205
235.216.607-09,Billy Phil,TODAS,201488869967269
602.553.141-50,Cheslie Benmore,CARTAO,4936235626162950
787.528.447-52,Stephenie Devine,TODAS,3565618593544670
355.679.934-38,Willamina Eames,CARTAO,3584513206565700
689.093.754-51,Dave Connock,TODAS,3568948256197700
750.810.840-71,Nilson Coggin,CARTAO,3559695074444690
901.701.641-33,Faustina Swanborough,CARTAO,5229617453093180
999.902.797-07,Evaleen Pennicott,TODAS,3548609328217310
405.224.863-41,Lexy Cuddihy,CARTAO,3540800646257210
955.720.747-43,Fidelity MacNish,TODAS,374288146096929
394.864.026-14,Georgena Slograve,CARTAO,675984236449085000
071.985.523-92,Aubrette Graeme,TODAS,3535934435907990
101.651.661-35,Wallas Besnardeau,CARTAO,3567998143714850
050.969.677-56,Dian Umbers,TODAS,4017954570222
072.756.770-59,Helyn Quilkin,CARTAO,5213084255809200
858.533.482-72,Madeleine Mattacks,TODAS,3542079901495450
589.208.918-60,Hector Lechmere,CARTAO,6395713401293030
199.969.313-67,Riccardo Broader,TODAS,201652572542434
256.832.196-35,Dulcie Brisard,CARTAO,5010125599127450
353.543.334-38,Manda Sach,TODAS,67638985070308700
355.331.838-68,Keene Sings,CARTAO,3574744778494950
556.303.532-88,Ginni Youd,DINHEIRO,3566769968439670
052.075.487-27,Diandra Tedahl,DINHEIRO,3576071461139420
261.336.441-00,Pascale Cluitt,DINHEIRO,3555708037524020
461.653.096-02,Dunn Robertsen,CARTAO,372301601606132
579.688.983-75,Spenser Khomin,TODAS,3551224120864890
057.727.033-95,Brnaba Heckle,CARTAO,30366281969708
632.918.015-96,Paula Tibbs,TODAS,201402125737960
597.442.744-51,Tilly Rabbatts,CARTAO,3548236158359030
868.093.793-54,Orran Piddle,TODAS,4026326463855470
436.253.389-19,Valdemar Ortner,CARTAO,3529143307857840
012.696.355-69,Sayers Brunton,TODAS,3571526992249540
489.584.631-49,Ermentrude O'Halloran,CARTAO,4017954852822130
767.097.462-53,Enid Bullers,TODAS,5002359916327890
383.372.337-84,Chelsae Gors,CARTAO,3550427615501110
455.080.689-35,Vivi Anmore,CARTAO,3580303868957170
083.775.619-70,Dorian Symmons,TODAS,5459063987757920
744.897.038-56,Wittie Passingham,CARTAO,3549476230852040
167.451.615-12,Tiebout McVane,TODAS,3577327478283780
128.177.059-44,Clemmy Revance,CARTAO,3555709616540150
497.498.841-80,Jilly Nitto,TODAS,4041595113192
402.395.559-84,Lynnet Roseaman,CARTAO,6762009285273280
918.275.759-20,Darell Streight,TODAS,56022522978265400
672.550.511-19,Joyann Champney,CARTAO,3579540449282590
397.834.219-65,Rolf Yandell,TODAS,3576687576046280
045.091.548-72,Aile Gounin,CARTAO,5602223475427320000
015.288.605-19,Jacynth Kalaher,TODAS,4844475107340730
106.500.547-67,Sandy Gianetti,CARTAO,201443762936440
168.869.042-96,Selinda Heaviside,TODAS,5602259078641140
518.830.709-69,Pia Eastcourt,CARTAO,5602235131526010
911.466.229-13,Addi Allchorne,DINHEIRO,5100133522224910
495.137.604-49,Quinn Eynaud,DINHEIRO,30420278567015
259.068.359-58,Frederigo Shulem,DINHEIRO,4905180864575860
677.322.270-97,Remington Munt,CARTAO,4041373617440940
536.802.965-25,Zsazsa Stuehmeyer,TODAS,3538055213088350
793.639.099-21,Gillian Ert,CARTAO,374288412531518
541.450.282-63,Kameko Hadye,TODAS,5602259571647390
045.890.671-38,Isacco Crimes,CARTAO,3563149333124240
904.482.975-14,Arliene Kielty,TODAS,3568407676230420
201.453.143-53,Arlen Hiskey,CARTAO,201977579336831
640.484.513-20,Maggy Twelftree,DINHEIRO,3566566550159530
888.340.751-04,Weber Tukely,DINHEIRO,201653724452498
584.364.707-10,Roanna Eglaise,DINHEIRO,5007665539248300
053.872.666-03,Luise Frowde,DINHEIRO,501808345766970000
584.574.868-52,Gabi Lacase,CARTAO,3542538743663550
211.757.986-30,Helge Hawking,TODAS,3543013304143300
580.433.646-52,Dru Wandrey,CARTAO,3575513214242600
623.639.067-66,Adrianne Handrik,TODAS,5449735440382560
054.115.474-26,Nancie Euplate,CARTAO,5010129197175690
129.802.733-44,Kelby Thing,TODAS,3560412877964210
328.471.971-77,Valerie Camosso,CARTAO,3573916437159180
856.272.099-92,Jenine Bartram,DINHEIRO,5401042862410950
086.488.763-81,Nicko Carabet,TODAS,3580797816121510
355.513.712-95,Fleur Duguid,CARTAO,3574592741303230
758.359.468-20,Freddy Monte,TODAS,340398810999380
402.836.875-54,Jakob Lassells,CARTAO,5893907841247890000
410.967.404-62,Britte Tembridge,TODAS,3535936138795160
695.326.517-24,Rickie McGeraghty,CARTAO,3584652498420890
101.552.739-06,Clemens Satteford,TODAS,5108752731953590
650.359.608-50,Leanna Carr,CARTAO,3555712111269680
898.013.511-11,Kip Caig,CARTAO,560221906269578000
581.094.360-87,Kania Scimoni,TODAS,5610934205136640
369.965.138-28,Raye Dogerty,CARTAO,5280703201619580
657.707.426-75,Linus Bartalin,TODAS,30427818565912
007.531.034-85,Matthieu Wem,CARTAO,337941887374634
150.142.444-46,Hermione D'Souza,TODAS,6304572569874550
738.248.583-73,Caren Jaime,CARTAO,5100144398170560
404.730.114-40,Baxter Lynett,TODAS,3556618309823310
497.707.860-92,Kerwinn Charman,CARTAO,5261963425257410
889.522.679-65,Olav Euels,TODAS,3551718250180670
772.342.320-41,Munmro Bauser,CARTAO,3560399530317430
366.457.704-22,Bourke Glassman,TODAS,633110211730817000
435.802.670-03,Celestia Matzen,CARTAO,4868727190650
842.783.723-79,Cordey Ebsworth,TODAS,560222435482709000
718.132.048-45,Dominique Treslove,CARTAO,630483821917585000
078.580.155-65,Merrill Koomar,DINHEIRO,30051303625872
373.624.505-40,Rickey Woolager,DINHEIRO,3542040941909380
712.938.711-73,Alwyn Ell,DINHEIRO,201697187371497
351.132.402-70,Kelley Kirk,CARTAO,36714429439957
513.217.356-36,Farrell Lowdyane,TODAS,3530803380888160
167.081.206-53,Carol-jean Bletso,CARTAO,5602220055141670
212.449.456-09,Lew Gile,TODAS,30207842224284
178.187.411-63,Garnette Govett,CARTAO,3563080321243730
764.652.352-01,Massimo Burdas,TODAS,5592593101860910
982.001.470-07,Gavra Elland,CARTAO,50381929799387000
450.014.972-38,Simonette Cheatle,TODAS,345407559093282
539.906.939-06,Harbert Brisard,CARTAO,5020043346197030
156.291.198-64,Luelle Pearton,TODAS,3581469723059140
283.276.038-18,Henderson McBean,CARTAO,3582340153568100
763.557.201-23,Vallie Norcott,CARTAO,3580499085147680
725.180.603-62,Donovan Glandfield,TODAS,3556957455146120
999.005.508-33,Sabra Shawley,CARTAO,377675141229991
668.611.431-75,Amelina Rosenstiel,TODAS,337941278329460
697.728.502-27,Garald Yarr,CARTAO,3563326253427270
102.843.083-23,Hermie Marnane,TODAS,30267396147976
752.734.482-30,Konstantine Rhodes,CARTAO,6331104359648460000
349.188.269-81,Willette Sparks,TODAS,3545973386036390
724.220.475-77,Jefferson Tremellier,CARTAO,5610866495843870
036.273.576-47,Anselm Talbot,TODAS,3551715725611960
582.479.320-47,Lory Spratt,CARTAO,4508070000606240
404.055.512-11,Patsy Uccello,TODAS,3539456442489380
917.996.541-74,Marlin Witherington,CARTAO,3536184140014960
752.383.272-49,Ame Jayme,TODAS,3586406873234720
147.843.473-47,Barde Rosenwasser,CARTAO,4508378761090730
646.399.464-27,Tiphanie Littledyke,DINHEIRO,60437588765136500
542.616.948-70,Holmes Lewcock,DINHEIRO,3541081670821250
052.438.472-01,Ethyl Bohlje,DINHEIRO,6759247979590660
372.857.695-75,Ellsworth Egan,CARTAO,4508023877007660
845.871.153-60,Laverna Dedrick,TODAS,5010126067035520
983.638.109-39,Daniel Mussalli,CARTAO,3530919541783270
331.699.322-50,Ernestus Lusher,CARTAO,3589435566920870
112.432.985-56,Trista Herley,TODAS,3583237269513820
667.137.456-51,Theressa Hlavecek,CARTAO,676754897161922000
070.439.826-40,Georgine Rosoman,TODAS,4917123551603920
341.131.838-49,Correy Latter,CARTAO,3586084612910420
355.822.553-42,Adria Hosier,DINHEIRO,201558969725179
924.489.627-08,Fredric Bilverstone,DINHEIRO,5002352850825640
437.775.173-34,Wileen Ammer,DINHEIRO,5216020442223930
853.095.047-99,Shaun Colin,DINHEIRO,5602258510774420
285.837.391-20,Lise Maffioni,CARTAO,3588669118463130
635.455.622-41,Wolfgang Donati,TODAS,4017957130537
541.768.917-47,Kelby Yewdale,CARTAO,3532925840547530
924.061.479-43,Portia Neasam,TODAS,5100136875333180
296.310.128-41,Elsbeth Sichardt,CARTAO,3558994797510380
370.631.144-14,Fancy Waiton,TODAS,3542822971621130
280.374.727-95,Raphael Huckstepp,CARTAO,5048376735280070
068.477.526-85,Rriocard Kimbling,DINHEIRO,3550558696802500
735.575.683-91,Thain Imos,TODAS,201660965108358
333.438.414-38,Salim Senn,CARTAO,3577539030299910
453.292.465-48,Hersch King,TODAS,3556925455177120
065.996.443-62,Manda Shaplin,CARTAO,36618685035492
337.517.721-17,Abbe Gerasch,TODAS,201874806126384
641.370.328-81,Marcie Futty,CARTAO,5496224987045190
484.284.150-54,Obie Akid,TODAS,3565888043243840
672.173.196-88,Salomone Townson,CARTAO,3576357979021970
007.033.014-84,Inger Barwack,CARTAO,3588106428637750
629.139.538-31,Ashlan Pickaver,TODAS,677121956520208000
173.268.006-27,Gun Rappport,CARTAO,3557854920708730
816.637.738-48,Bentley Pawson,TODAS,3533623382991370
072.691.492-94,Meryl Celli,CARTAO,4835336984815
934.929.271-43,Olav Stanlike,TODAS,5100177941915870
424.246.505-67,Heywood Estabrook,CARTAO,670966515733782000
947.603.774-60,Walsh Robeiro,TODAS,5002353519885650
869.577.289-30,Lou Eastman,CARTAO,3528799261674390
718.173.206-35,Stafford Hanselman,TODAS,3552907151522960
196.086.605-56,Abelard Greste,CARTAO,4905638201115010
786.804.792-79,Hieronymus Puzey,TODAS,3581805646913690
996.715.960-13,Richmond De Bernardis,CARTAO,3539757535182560
765.200.201-73,Mareah Dradey,TODAS,5048372394643610
365.644.045-18,Celeste Ilchuk,CARTAO,3587126067621710
601.123.992-49,Rodolphe MacEveley,DINHEIRO,3531104699732140
263.516.886-37,Emogene Hartright,DINHEIRO,6334933175319570
417.257.091-80,Alfredo Millsap,DINHEIRO,3530791203457470
951.951.974-82,Koo De Bischop,CARTAO,3549719895959090
153.286.146-73,Waylan Keese,TODAS,5602223011030950
593.343.795-41,Aubrey Lantoph,CARTAO,5048378412205780
478.760.043-06,Erina Slingsby,TODAS,6761833820770550000
738.240.468-48,Belia Baal,CARTAO,3579275259273360
433.773.623-17,Valerye Chaplain,TODAS,337941216995265
178.908.873-15,Bonnibelle MacGettigen,CARTAO,675932450434105000
133.754.873-31,Wendy Djorvic,TODAS,6762901394797250000
486.445.743-31,Erskine Caulder,CARTAO,5007666244116650
670.147.204-73,Leona Bere,TODAS,3566005480709620
139.258.694-79,Damiano Swyer,CARTAO,4041373427370890
791.730.804-72,Sara-ann Pepperill,CARTAO,675975991446425000
156.802.408-10,Jemima Beckinsall,TODAS,5108755457124820
583.475.423-34,Willis Butt,CARTAO,5362037869063580
465.404.078-34,Wendie Heistermann,TODAS,6389690308241260
480.592.224-65,Arvy Glastonbury,CARTAO,6763231931033790
659.604.752-99,Allianora Lung,TODAS,3552689557213770
980.195.730-12,Zandra Ties,CARTAO,3551754651228130
504.750.657-81,Saunders Boules,TODAS,30266312780761
108.128.329-99,Bevan Curl,CARTAO,3577569887802640
241.104.168-09,Gareth Della Scala,TODAS,3584937385769860
686.724.119-71,Margette Strauss,CARTAO,6379071771504430
106.572.058-41,Gayle Epps,TODAS,5602211013581970000
956.742.189-25,Sean Gouldthorpe,CARTAO,560223607234675000
414.464.206-68,Veronica Rintoul,TODAS,3540490664997470
466.599.587-56,Wiatt Sallier,CARTAO,30203616771287
355.957.227-11,Foss Boldecke,DINHEIRO,3529823807484690
264.614.140-12,Flori Brumham,DINHEIRO,3561603913329430
013.433.282-40,Kelbee Raubenheim,DINHEIRO,3531506980817780
405.857.871-34,Lenard Fearnyhough,CARTAO,3586374570504030
047.316.284-85,Bethina Greenset,TODAS,491166807225670000
962.641.128-27,Monroe Buffin,CARTAO,3587466081746790
